,1-Core Naïve MC_NDFS ,16-Core Naïve MC_NDFS ,MC_GC_NDFS,MC_AR_NDFS,MC_RS_NDFS,NC_NEW_NDFS
TRUE,41.6,0.6,1,1.2,1,1
TRUE,200.4,136.4,44.8,35.2,1,18.8
TRUE,6,0.8,0.8,1,0.8,1
TRUE,39,26.2,42.2,25.6,43.6,24.4
TRUE,63.4,1,1,1,1,0.8
TRUE,48,51.8,50.8,21,31.6,39.4
TRUE,6.4,1.8,2.6,1,3.8,1.2
TRUE,162.4,180.2,175.2,141.8,146.6,104
TRUE,65.4,58.4,56.2,70.4,72.8,55
TRUE,16.2,0.8,0.8,0.8,4.2,0.8
TRUE,4.2,0.8,0.8,1,0.2,1
TRUE,12.2,0.8,0.6,7.6,0.8,1
TRUE,8.4,1,1,0.8,1,0.8
TRUE,3,0.8,0.6,1.2,1.2,0.8
TRUE,64.8,70.6,56,71.6,71.2,67
TRUE,44.4,29.6,10.4,1.4,1,10.2
TRUE,39.4,0.8,1,1,0.8,1
TRUE,40,9.4,8.6,1,8.6,1.2
TRUE,178.4,160.2,192.8,159.4,159.8,142.6
TRUE,0.4,0.4,0.8,0.6,0.2,0.8
TRUE,31.4,0.8,1,1,1,1
TRUE,373.2,327.6,396.8,407.2,412.4,397.4
TRUE,148.2,99.6,97.2,48.2,166.4,51.2
TRUE,70,69.2,69,44.6,42,65.6
TRUE,12.4,0.4,0.6,1,1.6,0.8
TRUE,208.4,46.4,45.4,45.6,47,35.4
TRUE,338.6,228.4,369,106.2,382,131
TRUE,6.2,0.8,0.6,1,0.8,0.8
TRUE,356.6,320.4,390.8,402.6,404.8,383.8
TRUE,10,1,2.6,1,3.2,0.8
TRUE,197.8,89.6,172.2,220.4,219.4,129
TRUE,23,1.2,1,1,1.2,1
TRUE,10.2,1.8,1.4,1,0.8,1
TRUE,0.6,0.4,0.8,0.6,0.4,1
TRUE,39.4,10,33,9.2,41.6,26.4
TRUE,162.8,111,106.4,16.4,37.6,76.8
TRUE,2.4,0.6,0.4,0.6,0.6,0.6
TRUE,227,251.6,196.2,250.4,253,253
TRUE,20.6,0.8,1,0.6,0.4,1
TRUE,0.4,1,0.8,0.8,0.8,0.8
TRUE,365.2,409.8,395.2,237.6,411,210
TRUE,29.8,1.2,1,1,1,1
TRUE,125.4,1,1,1,80.6,1.2
TRUE,279,313.6,245,250.2,313.4,312.2
TRUE,3.4,0.8,0.8,0.8,0.8,1
TRUE,39.8,1,1,1.2,1,0.8
TRUE,313.8,344.4,267.2,341.6,346.6,342.2
TRUE,13.8,0.8,1,1,1,4
TRUE,15,0.8,1,0.8,0.8,0.8
TRUE,228,254.4,246.2,251.8,254.4,201.8
TRUE,28.2,7,12.6,19,19,1
TRUE,93.6,1,1,0.8,0.8,0.8
TRUE,166.4,1,1,1,0.6,2
TRUE,37.4,0.8,1,1,1,0.8
TRUE,164.2,110.2,142,56.4,110.4,64
TRUE,60.6,54,53.2,33,40.4,54.6
TRUE,62.4,1,1,0.6,1.2,0.8
TRUE,92.4,1,0.8,0.8,1.2,0.8
TRUE,83.8,19.6,0.8,0.8,1,1
TRUE,371.8,245.4,402.8,81.6,167,80.8
TRUE,271.4,179.8,232.4,138.4,179.6,194.4
TRUE,54,30.8,40.4,40.6,30.2,31.2
TRUE,330,371.4,360.8,368.8,372.2,369
TRUE,154.4,61.6,1,0.8,61.6,1.6
TRUE,23.2,0.8,1,0.6,1,0.4
TRUE,32,1.2,1,2,1,1
TRUE,3.8,1.8,1.8,0.6,1.2,0.8
TRUE,18.2,3.2,4.4,1,1,1
TRUE,50.4,1.2,1,1,0.6,1
TRUE,2.4,0.6,0.4,0.8,1.2,0.6
TRUE,322,359.4,350,230.4,360.2,285.8
TRUE,51,1,0.8,0.8,1,1.4
TRUE,0.4,1,0.8,0.4,1,0.8
TRUE,236.2,160.2,207,25.8,212,1.6
TRUE,3,0.4,1.6,0.8,0.8,1
TRUE,2,0.6,0.8,0.8,0.4,0.8
TRUE,17,17,1.6,13.2,7,9.8
TRUE,68.2,46.4,72.8,60,45.2,60.2
TRUE,20.2,1.4,1,1.2,4.8,0.8
TRUE,4,0.6,0.6,0.8,1,1
TRUE,11.6,0.4,1,0.8,0.8,0.6
TRUE,1.2,0.6,1.2,0.6,0.8,1
TRUE,14.2,0.6,0.6,0.4,1,0.4
TRUE,398.2,358.2,432.6,444.6,449,356.4
TRUE,335.8,299.2,291.8,226.4,228,298.8
TRUE,8,0.8,1,0.8,1.2,0.8
TRUE,93.2,41.8,80.4,102.8,82.8,98.2
TRUE,12.2,7.6,5,5.4,5.2,1.6
TRUE,141.6,64.4,93,95.4,127.4,126
TRUE,4.6,0.6,0.6,0.6,1.2,1
TRUE,295.4,332.8,322.4,329,332.6,329.8
TRUE,38.6,1,1,1,0.6,0.8
TRUE,0.6,0.2,0.4,1,0.2,0.6
TRUE,383.6,420.8,329.2,85.2,422.6,179
TRUE,211.2,1,136.2,20.8,94,1
TRUE,65.8,1,56.8,43.8,44,58.6
TRUE,0.6,0,0.6,0.6,0.8,0.6
TRUE,19.4,1.4,1,1,0.8,1
TRUE,22.2,0.6,0.8,0.8,0.8,1
TRUE,93.6,21.4,21,1,22.2,42
TRUE,41.8,1,1,0.6,0.8,0.8
TRUE,25.4,0.2,1,0.6,0.8,0.8
TRUE,399,449,262.4,449,450.4,446.2
TRUE,2.8,1.4,0.8,1.6,1.2,1
TRUE,189.4,212,165,211.8,212.2,168.6
TRUE,65.2,1,0.8,1.6,1,2.8
TRUE,373.6,418,405.2,416.2,418.6,414.4
TRUE,33.4,0.6,0.6,0.8,1,1
TRUE,59,0.8,0.8,0.8,1,1.2
TRUE,3,0.8,0.6,0.8,1,0.8
TRUE,199,127.2,162.2,86.8,127.4,43.2
TRUE,48.4,1,9.8,1,1,1
TRUE,407.6,439.4,423.4,432.6,439.8,349
TRUE,3,1.4,0.6,0.8,0.6,0.8
TRUE,120.6,103.8,51.6,103.2,103.6,104.6
TRUE,1.2,0.6,1,1,0.4,0
TRUE,15.6,1,1,0.8,1,1
TRUE,21.4,1,0.8,0.8,1,1
TRUE,44.8,1,10.2,1,2,1
TRUE,35.2,24.2,15.2,15.6,30,8.2
TRUE,4,0.6,0.2,0.4,0.8,0.4
TRUE,34.4,15.8,15,6.2,1,7.8
TRUE,127.8,142.2,138,141.2,142.4,113.4
TRUE,6.8,0.8,0.6,0.8,0.8,0.8
TRUE,136.4,1,0.8,0.8,1,0.8
TRUE,49.2,1,1,1,1,2
TRUE,24.6,0.8,1,0.8,0.8,0.8
TRUE,58,0.8,0.8,1,0.8,1
TRUE,107,1,0.8,1,0.8,0.8
TRUE,68.4,0.8,0.8,1,16.6,0.8
TRUE,51.6,0.8,1,1,1,1
TRUE,15.6,0.8,4.2,7.8,7.2,1
TRUE,371.6,237.6,304.6,102,393.8,178.4
TRUE,222.4,200,241.6,39.4,199.8,141
TRUE,21.4,0.8,0.8,1,1,1
TRUE,32.2,1,0.8,1.8,1.4,0.6
TRUE,228.6,247,191.8,246,247,245
TRUE,2.6,1.2,1.2,0.8,0.6,0.6
TRUE,0.6,0.8,0.8,0.6,0.6,0.8
TRUE,7,1,0.6,1,0.8,0.6
TRUE,95.6,85.2,104.4,83.4,84.2,65
TRUE,158,35.4,67.4,101.8,35.2,105.2
TRUE,6,1,1,0.6,0.8,1
TRUE,195.6,88,171,85.8,132.2,116.2
TRUE,0.6,1,0.6,0.6,0.4,1
TRUE,1.4,0.6,1.8,1.2,0.8,0.2
TRUE,1.6,1,0.8,0.8,0.6,0.8
TRUE,3.2,0.8,1,0.8,0.8,0.8
TRUE,1.6,0.6,1.2,0.6,0,0
TRUE,9,1.8,1,0.8,0.8,1
TRUE,10.6,0.4,0.8,0.8,0.8,0.6
TRUE,108.6,1.4,1,1,1,1
TRUE,5.2,1.8,1.6,1.8,0.6,0.8
TRUE,165.8,74.8,186.2,164,111.6,185.6
TRUE,359,321.2,318.6,227,404,133.8
TRUE,105.8,117,70.4,55.8,95.2,59
TRUE,10.8,1,0.6,0.8,1,1
TRUE,11.6,0.6,0.8,1,1,0.8
TRUE,11,0.6,0.8,0.8,0.4,0.6
TRUE,3,0.6,0.8,0.6,0.6,0.6
TRUE,40,43.8,25.2,17,42.6,34.4
TRUE,290.6,261.8,321,313.6,322.6,320.8
TRUE,118.2,79.8,107,102.8,82.6,53.2
TRUE,56.4,25.2,38.2,59.8,37.2,62.8
TRUE,54,47.8,35.2,45.4,58,58.6
TRUE,29.8,1,0.6,1,0.8,0.8
TRUE,40.2,1,0.8,1,1,1
TRUE,381.8,169,334.8,330.2,338.2,335.2
TRUE,278.6,312,311,302.4,314.2,311.4
TRUE,4.6,0.6,4,0.8,0.6,1
TRUE,1,1,0.4,0.6,0.8,0.6
TRUE,69.6,31.8,45.2,30.2,62,31
TRUE,62.8,14.4,42,40.2,41.2,14.6
TRUE,3.4,0.6,0.8,0.6,1.4,0.6
TRUE,68.2,30.8,45.6,18.8,0.8,0.8
TRUE,279.6,249.4,245.6,239,309.8,307.2
TRUE,82.6,19.2,19.4,36.8,1,18.8
TRUE,1.2,0.8,0.2,0.8,0,0.8
TRUE,0,0.6,1,1,0.6,0.8
TRUE,353.6,396.6,392.8,384.2,398.4,394.2
TRUE,218.4,48.8,1,111.2,1,131.2
TRUE,60,1,1,0.6,0.8,1
TRUE,336.8,361.2,286.6,327.6,363,288.8
TRUE,63.6,43.2,1,14.6,57.8,29
TRUE,0.6,0.4,1,0.8,0.6,0.6
TRUE,0.6,1,0.8,1,0.6,0.6
TRUE,1.6,0.8,0.4,1,0.8,1
TRUE,9.8,0.8,0.6,0.6,0.4,0.8
TRUE,51.6,1,1.2,1,1.2,1
TRUE,125.2,0.8,1.2,1,1,1
TRUE,160.6,71,71.2,1.2,105.2,18.6
TRUE,32.8,1,1,1,0.8,1
TRUE,22.8,1,0.8,1,2,0.8
TRUE,33,15,15.2,8.6,1,8.6
TRUE,12.6,0.8,1,0.8,0.8,0.8
TRUE,32,8.4,1,7.6,20.6,8.2
TRUE,1.8,0.6,0.8,0.4,0.8,0.4
TRUE,94.4,101,81.2,79,81.2,100.6
TRUE,38.8,25.8,35.4,16.8,33.8,26.2
TRUE,192.2,170.6,210.8,205.4,212.2,172.8
TRUE,106.8,117.8,69.8,81.2,71,93.2
TRUE,33.4,7.6,7.6,1.4,7.6,3.4
TRUE,338,378.6,376.6,367.2,381.4,376.2
TRUE,140.2,157,155.4,152.4,157,156.4
TRUE,91.8,43.4,1,0.8,1,0.6
TRUE,52.4,35.2,57.4,34.6,46.4,13.4
TRUE,7.4,0.6,2.2,0.6,3,2.8
TRUE,202.2,92.4,136,131.6,227,135.8
TRUE,27,29.2,17.6,7.2,23,7.8
TRUE,1.2,0.8,0.4,0.4,1,0.4
TRUE,10.2,1.2,2.4,2.6,4.8,0.8
TRUE,112.4,1.2,100.4,23.4,29.4,26
TRUE,174.8,196.4,193.4,188.8,194.2,192.6
TRUE,30,0.6,7.6,7.2,7.4,15
TRUE,4.8,0.8,1,0.6,0.8,0.8
TRUE,297.4,332.2,200.8,257.6,267.2,330.4
TRUE,381.8,425.4,426,413.2,428.8,427
TRUE,47.4,1,1,0.8,1,1
TRUE,22,1,0.8,1,0.6,1
TRUE,253,164.2,218,53.8,110,164.6
TRUE,308.2,343.8,342,333.6,272.8,342.8
TRUE,52.6,0.8,1,0.6,1,0.6
TRUE,279.8,125,186.6,163,310.6,184.4
TRUE,266.6,239.6,237.6,89,120.6,56.4
TRUE,1,0.4,0.6,0.6,0.6,0.8
TRUE,39.8,1,0.4,0.8,1.8,1
TRUE,4,0.6,0.8,0.6,0.6,0.2
TRUE,10,0.6,0.8,0.4,1,0.8
TRUE,99.2,110.6,87.2,106.6,87.6,87.6
TRUE,1.8,0.8,0.8,0.6,1.4,0.4
TRUE,14,0.8,1,1,1,3.8
TRUE,5.2,0.8,0.8,0.8,0.8,1
TRUE,14.4,1,1,0.6,1,1
TRUE,158.4,108,71.2,1,35.8,28.4
TRUE,58.2,1,1,1,1,0.8
TRUE,65.2,1,1,0.8,0.8,1
TRUE,5,0.2,0.6,1,0.6,0.6
TRUE,214.8,97.6,144.8,121.2,97.4,188.8
TRUE,3.6,1,1.2,0.6,0.8,0.6
TRUE,19.4,13,9,20,16.4,18.4
TRUE,48,41,50.8,50.2,40.8,30.4
TRUE,234,262,265.6,203.8,262,260.6
TRUE,2.6,1.2,0.6,0.4,0.6,0.6
TRUE,6,1,0.8,1,0.8,0.8
TRUE,2.8,0.6,1,0.8,0.8,2.4
TRUE,12.2,1,1,0.8,0.8,0.8
TRUE,38.4,1,1,0.8,1,1.2
TRUE,57,51,25.6,13.8,26.6,13.2
TRUE,8.4,1,1,1,0.8,1
TRUE,27.4,1.2,12.2,1,1,0.8
TRUE,19.6,0.6,0.6,1,0.8,0.8
TRUE,6.2,1,4,1.8,0.8,1
TRUE,134.4,90.8,149,116.6,150.6,120
TRUE,30,8.6,1.2,7,20,13.6
TRUE,5.8,0.6,0.6,0.4,1,1
TRUE,23.6,19.6,14.6,18.6,14.6,5.2
TRUE,251.6,261.2,257,250,258.8,257.2
TRUE,219.4,98.2,146.6,191.2,244.4,194.8
TRUE,40.4,44.2,35.6,34.6,43.8,35
TRUE,280,313.2,312.6,303.6,314.6,250
TRUE,1.4,0.8,0.6,0.6,0,0.2
TRUE,28.8,1,0.8,1,1,1
TRUE,210,142.2,94.2,87.8,48.4,93.6
TRUE,31.6,1,0.6,0.8,1,1.2
TRUE,17.4,4.6,15.4,14.2,4.4,4.2
TRUE,2,0.8,0.6,0,0.8,0.8
TRUE,16.8,1,0.8,4.6,1,1
TRUE,139,155.2,155,120.6,155.2,95.2
TRUE,69,58,71.8,55.6,58.4,71.6
TRUE,54.6,36.6,48.2,29.8,59.6,38.6
TRUE,358.2,321.6,399.8,310.8,324.2,399
TRUE,10.8,1.6,0.4,1,0.8,0.8
TRUE,28.8,1,1,1,1,1
TRUE,48.8,9.6,25.8,16.6,32,9.8
TRUE,39,17.8,18.6,19.2,17.8,16
TRUE,25,6.4,1,1,1.6,1
TRUE,7.8,0.8,0.8,1,0.8,1
TRUE,166.6,177.6,178.6,180,174.4,174
TRUE,0.6,1,1.4,0.6,0.8,0.6
TRUE,2.2,0.8,0.4,1,1.6,1
TRUE,16.4,1,17.6,0.4,0.8,1
TRUE,108.6,1,1.4,0.8,0.8,1
TRUE,16.8,10.8,4.2,4.2,7.6,10.6
TRUE,105,47.6,92.8,74.8,92.2,21.2
TRUE,29.2,7.2,24.2,25,25.4,25
TRUE,106.8,0.8,1.2,1,1,1
TRUE,8.2,0.6,0.6,1,0.8,1.4
TRUE,247.8,275.6,271.8,280.6,271.4,271
TRUE,169.6,187.6,186.2,190.2,184.4,188.4
TRUE,84.2,54.6,88.8,73.6,90,89.4
TRUE,5.4,1,1.6,1,0.8,1
TRUE,53,59,57.6,48.4,46.6,46.6
TRUE,234.2,263.4,258.4,199.8,207.6,166.4
TRUE,23.8,1,0.8,0.8,0.8,1
TRUE,105.6,91.8,88,87.2,67.4,74
TRUE,16.4,4.2,1,1,1.2,1
TRUE,5.4,0.8,0.8,1,0.8,0.2
TRUE,36.4,1,0.6,0.8,1,1
TRUE,232.6,1.2,1,1,51.6,22.4
TRUE,19.6,0.6,0.6,1,1,1
TRUE,11.4,0.8,1,0.2,1,1
TRUE,41.2,1.4,0.6,0.8,1,1
TRUE,90.6,21.2,1,0.8,1.2,1
TRUE,60.8,1.4,1,0.8,1,0.8
TRUE,2.6,0.6,1,0.2,1.4,0.6
TRUE,30.2,25.8,25.2,25.6,19,31
TRUE,35.2,23.4,15.8,23.8,37.8,15.8
TRUE,37,1,1,1,8.8,1
TRUE,169.6,1,1,39.4,112.6,1
TRUE,16,9.8,12.2,9.4,12.6,9.6
TRUE,318.2,213.6,279.2,138.6,210.6,109.8
TRUE,1,0.6,0.8,0.6,1,1
TRUE,11.2,1.2,1,0.8,0.8,0.8
TRUE,2.4,0.8,1.2,0.4,0.8,0.6
TRUE,4.2,1.4,0.6,0.6,1,1
TRUE,10.4,0.6,0.6,0.6,0.8,1
TRUE,387.8,428.6,434.6,110,344.6,152.6
TRUE,46,1,11,1.4,1.4,1
TRUE,39.6,0.8,1,1,0.8,1
TRUE,35,8.2,0.8,8.2,15.6,15.6
TRUE,120.2,75.4,125.4,100.8,125.2,125.2
TRUE,177.4,196.6,199.4,129.4,198.4,115.8
TRUE,263.4,180.4,122,298.8,296.6,239.8
TRUE,9.4,2.6,2.6,2.6,2.6,5.4
TRUE,3,0.8,0.6,0.6,0.8,0.8
TRUE,6.2,0.6,1,0.8,1,1
TRUE,177.6,80.2,43,42,83.2,83.2
TRUE,0.6,0.6,0.8,0.8,0.8,0.6
TRUE,51.2,54.4,46.4,46.4,12,56.6
TRUE,47.4,1,1.4,12.4,1,1
TRUE,179.8,200.8,127.2,208,205.6,206.6
TRUE,379.2,341,444.8,260.6,434.2,256.2
TRUE,174,38,156.2,76.8,76.4,153.2
TRUE,264.2,238.2,311,145.6,303.2,298.6
TRUE,29.2,1.2,1,1,1,1
TRUE,36.6,1,0.8,0.8,18,9.2
TRUE,311,137.6,286,10.4,349.6,177
TRUE,25.2,0.8,1,0.8,0.8,1.2
TRUE,3,0.8,0.8,0.4,0.8,1.2
TRUE,35.4,0.8,1,0.6,1,0.8
TRUE,0.8,0.8,0.4,0.8,0.6,0.6
TRUE,363.6,410.4,341.8,337.8,415.2,272.6
TRUE,0,1,0.6,1,0.4,0.8
TRUE,0.2,0.4,0.6,0.2,0.4,0.8
TRUE,4.2,1,0.8,2.6,1,1
TRUE,10.4,0.6,1,0.8,0.8,1
TRUE,235.4,213.6,168.4,180.4,217.4,164.2
TRUE,152,35.8,74.2,128.6,72,78.6
TRUE,15.2,10,1,4.6,4.2,4.2
TRUE,25.6,1,0.8,1,0.8,0.8
TRUE,214,96,199,198.6,98.2,146.4
TRUE,30.8,7.4,29.6,14.4,7.8,14
TRUE,65.2,1,16.2,31,16.8,46
TRUE,271.4,306.2,193.8,253.4,315.8,189
TRUE,114.8,25.6,27.8,1.2,27,1.6
TRUE,184.2,165.8,217.6,215,170.4,213
TRUE,30.2,0.8,1,1.2,0.8,0.8
TRUE,263.2,294.4,247,303.6,302.4,302
TRUE,61.6,1.6,1,1,1,1
TRUE,109.6,95.4,99.8,123.2,122.4,122.4
TRUE,77.2,1,1,0.6,0.8,1
TRUE,39.8,1,0.6,0.8,0.8,1
TRUE,202.8,228,239.6,236.2,234.2,234.4
TRUE,18.8,0.8,1,0.8,1.4,0.8
TRUE,28,1,7.4,1,6.8,1.2
TRUE,266.8,288.2,304,300.2,296.8,295.2
TRUE,133.4,30.8,31.8,43.2,31,31
TRUE,107.8,0.8,1,1.2,1.2,0.8
TRUE,10,1,0.8,1,0.8,0.6
TRUE,52.8,1,1.2,1,11.6,0.8
TRUE,32.8,29.2,23.6,22.8,8.2,37.4
TRUE,1.6,1,0.8,0.6,0.6,0.6
TRUE,184.2,206.8,218.2,172,213.8,170.6
TRUE,1,1,0.8,0.8,0.6,0.6
TRUE,7.6,0.6,0.6,0.8,0.8,0.8
TRUE,184.2,124,217.4,144,212.2,117.4
TRUE,5.2,0.8,1,0.8,1,1
TRUE,143.8,160.6,137,166.8,166.6,165.4
TRUE,23,0.8,1,0.8,0.8,0.8
TRUE,281.4,191,201.4,241,260.2,211.2
TRUE,4.4,1.4,1,1.6,1.6,1.4
TRUE,9,0.8,0.8,0.6,0.6,1
TRUE,173.4,116.2,120.6,143.4,195.8,184.6
TRUE,30.4,1,1,1,1.2,1
TRUE,46.2,49.2,32,41.8,41.4,41.4
TRUE,292,327.2,341.6,269,334,333.6
TRUE,21,1,1,0.6,0.6,0.6
TRUE,33.6,23,24.4,31.4,38.8,31.2
TRUE,13.2,1,0.6,1,0.8,1
TRUE,43,37.8,50.6,20.8,30,39.6
TRUE,31,14.2,15.4,8.6,22,8
TRUE,3,0.8,1,0.2,0.4,1
TRUE,41,0.8,1,1,10.4,1.6
TRUE,274.2,306.8,321.2,190,314.2,251.6
TRUE,12.2,1,1,0.8,1,0.8
TRUE,6.4,0.8,0.4,0.8,0.4,1
TRUE,2.2,0.6,0.4,1.2,1,0.6
TRUE,35.6,1,1,0.8,1.2,1
TRUE,8.6,1,0.8,1,0.8,1
TRUE,20.4,1,1.2,1.8,1,1
TRUE,320,205.6,144.8,94,208.2,229.4
TRUE,1.8,0.6,0.6,1,0.6,0
TRUE,1,0.8,0.4,0.6,0.8,0.6
TRUE,2.4,1,1.2,0.8,1,1
TRUE,93,0.8,1.6,0.6,1,1
TRUE,0.8,0.4,0,1,0.6,0.6
TRUE,357.2,400.6,332.8,410.8,325.6,327
TRUE,69.4,38.8,68.4,41.4,67,54.4
TRUE,106.6,72.4,75.4,25.4,25.4,1.2
TRUE,0.2,0.6,0.8,0.6,0.6,0.6
TRUE,8.8,4.2,4.2,1.4,4.4,1
TRUE,161.6,180.6,190,149,185,184.4
TRUE,93.4,84.2,89.2,87.4,109.2,86.8
TRUE,9.8,1,0.8,0.8,1,0.8
TRUE,6.6,0.6,1.6,0.8,0.6,0.8
TRUE,1,0.2,0.6,0.4,0.6,0.8
TRUE,44.8,1,0.8,0.8,1,1
TRUE,13.2,1,0.8,0.8,1,0.2
TRUE,0.2,0,0.8,1,0.6,0.8
TRUE,1.8,0.6,0.6,0.8,0.4,0.2
TRUE,5.2,0.8,0.6,0.8,0.8,1
TRUE,2,0.8,0.4,1,1,1.2
TRUE,306.8,345.6,359.4,354,352.8,350.4
TRUE,1.6,1,0.8,0.8,1.8,0.4
TRUE,1,0.6,1,0.8,1,0.6
TRUE,46.4,1.2,33,11.6,43.4,1
TRUE,12.8,1,1,1,1,1
TRUE,46.8,1.8,1,1,1.2,0.8
TRUE,79.6,1,0.8,1.2,0.6,1
TRUE,4,0.8,0.8,0.8,1,1
TRUE,202.6,183.2,192,149.6,94.8,234.6
TRUE,0.8,0.6,0.4,0.8,1.2,0.4
TRUE,50.8,12.2,25,17.4,12.6,29.8
TRUE,38.8,0.8,0.6,1,1,1.4
TRUE,5.2,0.6,0.6,1,0.8,1
TRUE,11.8,5,3.4,1,7.4,3.4
TRUE,131.8,142.6,121.2,92,147.6,79
TRUE,97.2,65,23.8,67.8,47.6,21.6
TRUE,333.8,301.8,313.6,308.4,310.4,306.6
TRUE,19.6,0.8,0.6,1,1,0.8
TRUE,238.2,265.4,223.4,164.6,219.8,218.4
TRUE,82,19,77.2,21,58.8,42.6
TRUE,209.4,188,198,195.6,192.6,192.8
TRUE,46.4,21,11.6,23.2,11.6,22
TRUE,14,0.8,0.6,1.2,0.6,0.6
TRUE,12.2,0.8,1,0.8,1,0.8
TRUE,2.4,0.6,1.2,1.2,1,0.6
TRUE,46.8,0.8,1,1,0.8,1
TRUE,356.8,401.2,335.4,410.8,406.8,407.6
TRUE,132.4,1,1,1.4,1,1
TRUE,80.4,36.6,1.2,39.8,1.4,1
TRUE,293.2,330,345.6,340.8,337.2,339
TRUE,6.4,0.6,0.6,1,0.8,0.8
TRUE,10,0.6,1,1,3.6,0.8
TRUE,15,1,0.8,1,0.8,0.4
TRUE,1,0.8,0.8,0.4,0.8,0.6
TRUE,4,1,0.6,1.6,1,0.8
TRUE,258.8,283.4,240,293.2,293.6,290.6
TRUE,131.2,30,32,1,31.2,31
TRUE,4.2,2.2,0.8,0.8,1.6,1
TRUE,84,1,20.6,1,56.4,19.8
TRUE,27.4,1,1,1.4,0.8,0.8
TRUE,23.4,11.2,27,16.4,15.8,10.8
TRUE,165.2,186.8,195.2,191.8,152.4,191.2
TRUE,220.6,92.4,1,1,95,46.2
TRUE,1,1,0.6,0.6,0.6,0.6
TRUE,24.8,0.8,1,0.8,1,0.6
TRUE,0.4,0.6,0.4,0.8,0.6,0.6
TRUE,1.2,0.6,0.6,1,0.6,0.2
TRUE,395,427.2,446.2,438.8,349.2,434.8
TRUE,341.8,229.4,160.2,306.2,240.4,220
TRUE,59,1.8,0.8,1,1,16.6
TRUE,264.8,170.4,181,127.8,233.6,176
TRUE,0.4,0.8,1,1,0.8,0.6
TRUE,27.6,1,1.2,1,0.8,0.8
TRUE,5.4,2.8,3.6,4.2,2.4,2
TRUE,121.8,135.8,114.8,71,111.6,42.6
TRUE,2,1.4,0.8,0.6,0.8,0.6
TRUE,5,0.4,1.6,1.6,0.8,0.6
TRUE,366.4,411.8,430.2,270.2,420,183.8
TRUE,139,120,64.6,93.8,95.8,57.2
TRUE,255.2,282.6,296.6,293.6,231.6,291.6
TRUE,1.2,0.4,0.6,0.8,1,0
TRUE,198.2,208.4,222.2,176.2,215,151
TRUE,2.8,3.6,1.2,1.4,1,0.8
TRUE,120.8,81.2,89,57,28.8,64.6
TRUE,311.2,204.6,281.4,202.6,343,231
TRUE,1.2,0.6,0.8,0.8,1,0.8
TRUE,94.6,89.4,90,66.6,66.2,89.6
TRUE,122.4,3.6,58.8,1.4,57.6,29.4
TRUE,166,0.8,0.8,1,1,19.6
TRUE,1.6,0.8,0.4,0.8,0.8,0.6
TRUE,19,12.4,14.2,13,12.8,5
TRUE,23.4,0.8,0.8,0.8,1,0.6
TRUE,312.8,276.4,363,355,282,282.6
TRUE,5.6,0.8,0.8,0.8,0.8,1
TRUE,34.4,30,39.8,17.4,31.6,29.8
TRUE,23,1,1.4,0.6,0.8,1
TRUE,7.6,0.8,3.4,1,1,1
TRUE,0.4,1,0.4,0.6,0.6,0.6
TRUE,374.4,422,353.6,386.6,428.2,306.4
TRUE,44,9.2,3.8,1,9.2,1
TRUE,327.6,286.4,378,295,365,219.8
TRUE,1.2,0.8,0.8,0.4,1,0
TRUE,90,96,102.2,100.6,99.4,80.2
TRUE,3,1.2,0.4,1.2,1.6,1
TRUE,3.6,0.8,1,1,0.8,0.4
TRUE,0.6,1.4,0.4,0.6,0.6,0.6
TRUE,340.4,223.4,308,229,229.4,283.2
TRUE,292,326.2,343.4,269.2,333.6,333.6
TRUE,14,0.8,1,0.6,0.4,1.2
TRUE,44.8,20.4,22,41.8,42,41.6
TRUE,35.8,39,32.8,24.4,24.2,31.8
TRUE,3,0.6,0.2,0.2,0.6,0.8
TRUE,1.6,1.2,0.6,0.8,0.8,0.4
TRUE,30.2,20.2,28.2,7.4,14.2,21.6
TRUE,15,1,0.8,0.6,1,1
TRUE,1,0.4,0.6,1,0.8,0.8
TRUE,27.8,1,0.8,0.8,0.8,1
TRUE,7.8,0.8,1,0.8,1,0.8
TRUE,227.4,99.8,53,33.8,51,60.4
TRUE,59.8,1,1,42.2,14.6,0.8
TRUE,210,93.6,99.8,38,145.8,142
TRUE,17.6,1,5.2,1,0.8,0.8
TRUE,55.6,61,64.6,50.2,38,51
TRUE,230.4,204,267.2,210,208.8,208.6
TRUE,80,1,0.8,1,1,1
TRUE,9.2,1,0.8,1,0.8,0.8
TRUE,212.8,95.2,98,27.4,49,56
TRUE,48.8,1,1,0.6,0.8,1
TRUE,209.8,224.2,236.2,139.2,229.2,184.8
TRUE,32.8,7.8,1,0.6,0.8,0.6
TRUE,318.6,288.6,374.4,368.4,367.6,366
TRUE,285.4,319.2,269.8,137.6,262.2,197.4
